,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin
4212,3.4270778,1.3997378,5.4918423,0.78071415,0.018909091,3.6068325,81.97391,4.380534,33.253845,0.552596,0.142036,0.104133576,0.25452575,-0.98874426,-0.41233283,0.4325601,0.5316735,0.25415,0.48696482,0.71744746,4.220736,0.11242279
4213,3.4307928,1.5018973,5.608043,0.7497855,0.018202506,4.10343,79.96049,4.173278,33.41931,0.33691603,0.1341335,0.1030722,0.2502506,-0.98478997,-0.45600086,0.3433729,0.49091902,0.2930428,0.47986242,0.6494873,3.7120283,0.18782248
4214,3.766221,3.0385652,6.6634207,0.566862,0.020992048,2.7303734,73.681076,4.662775,33.91428,0.1626396,0.23436412,0.7521155,0.052272007,-0.9700496,0.94173,0.32423547,0.25621212,0.19979411,0.073189944,1.2776434,2.5183694,0.29171425
4215,3.2056231,-0.42343915,4.9322796,0.99434936,0.076978825,3.9684563,90.34993,5.3568354,32.738014,0.35718343,0.08323179,0.25236773,0.12564416,-0.50535154,-0.9372356,0.79626274,0.14709024,0.9705885,0.9588984,3.4258485,4.2122188,0.6281407
4216,4.1177673,2.0842686,6.02588,0.8074089,0.026656948,2.8726254,80.19318,4.319747,30.84686,0.30789608,0.12924784,0.46995476,0.12680048,-0.40429425,0.92093205,0.26857904,0.09541762,0.02934268,0.023323568,0.74864364,5.793053,0.6752942
4217,3.7748299,1.2045877,9.081525,0.84522676,0.013940888,2.7639952,81.3057,4.4693956,31.119823,0.6925328,0.22985402,0.9203772,0.114211105,-0.864538,0.8665807,0.3657782,0.11764719,0.025494257,0.016696593,2.0381746,4.5017548,0.84271336
4218,3.4243388,-0.3078513,2.0981808,0.5878144,0.06636249,3.146638,81.294205,5.6286554,35.285183,0.4374037,0.16154326,0.08837746,0.5177813,-0.30069548,-0.92697513,0.5734601,0.04905711,0.86562365,0.81969815,2.1297958,1.5269686,0.8238015
4219,4.0582,1.5318935,4.1105976,0.91321075,0.039311085,4.7919674,88.19428,5.902089,32.794815,0.013612586,0.31751853,0.3956655,0.022648428,0.25036335,0.76146483,0.082541354,0.014901982,0.41231653,0.008483674,2.147901,5.0810294,0.41749772
4220,3.8075452,2.3593507,7.2129126,0.77621686,0.013564088,4.867573,77.62869,4.702458,35.21733,0.21569571,0.08476526,0.7761924,0.19870815,-0.19608921,-0.80845714,0.87346524,0.07043822,0.30566615,0.7173952,3.0392997,2.601448,0.5610526
4221,4.0413666,0.03220749,4.799837,0.728883,0.018642815,2.9467926,99.64737,4.756155,32.937363,0.66431946,0.24197887,0.17631474,0.14596133,-0.93297327,0.08023107,0.2604122,0.43080792,0.68355095,0.28804973,1.7150073,5.402312,0.27567893
