Unnamed: 0,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin,rho_chi_1_true,rho_chi_2_true
5017,3.7973552,0.6566794,3.5784774,0.91160125,0.060941335,2.8141222,98.71101,5.880105,35.01174,0.9415539,0.28206405,0.60314673,0.021618385,0.112998724,-0.868146,0.4597765,0.027652571,0.6119514,0.036686298,0.76959044,3.2389102,0.68219864,0.08100651494818507,-0.3751099481181508
5018,3.69671,1.7853158,6.4441032,0.80627334,0.023281692,3.445036,72.50709,3.587079,31.572937,0.764156,0.17164598,0.16575551,0.042013403,-0.8957783,-0.7697704,0.7838975,0.39543533,0.78155917,0.18026409,1.4753314,4.096676,0.1986134,-0.3824067908552869,-0.21899014243832376
5019,3.0941749,2.2153282,5.3686085,0.7002867,0.02284565,2.932167,73.97736,4.823142,31.504242,0.7520023,0.24853273,0.15948255,0.055149943,-0.6150685,-0.79492307,0.875665,0.2429278,0.7733416,0.19770576,1.9845183,4.603961,0.49290207,-0.29771957413593403,-0.22549710713861593
5020,3.845327,0.5038943,6.4403157,0.8329143,0.092908524,3.3626003,84.547295,4.6817484,31.863255,0.17744006,0.057628524,0.64102304,0.31032592,-0.32974213,0.9653889,0.41061386,0.070949875,0.18093565,0.06372256,2.822819,8.50993,0.21154243,-0.2559002337358308,0.9074296624256649
5021,3.4903803,0.6957214,4.1484847,0.6638935,0.023531083,4.34966,79.41184,5.7556095,31.029425,0.3395776,0.12455488,0.4898923,0.06352197,-0.19763142,-0.9080481,0.94030577,0.29169968,0.3080214,0.013027232,0.7924324,3.772189,0.3245451,-0.13434750215551908,-0.5450854762983026
5022,3.1815357,0.66435385,2.7319474,0.81351113,0.0376466,1.7312536,85.47678,5.2930756,35.6706,0.9198472,0.14751036,0.85888606,0.019897621,-0.17149651,0.9633155,0.20825318,0.17781287,0.63119805,0.285139,1.5465498,1.7903719,0.93937916,-0.07463682385371714,0.834636020354224
5023,3.1316714,-1.1045822,5.304742,0.8178284,0.10505537,4.604039,92.11778,5.1924253,36.319195,0.32816526,0.17604975,0.6865465,0.09084216,-0.90051794,-0.324282,0.83014953,0.41633898,0.31770727,0.14563638,1.1404709,3.6282256,0.7129726,-0.5140295779699802,-0.08856907118519929
5024,3.3831406,-0.28660512,2.3377469,0.84716123,0.03850653,3.0682201,83.773796,5.8466024,35.3825,0.3040672,0.22379719,0.8738341,0.1728517,0.48014092,-0.7110456,0.99765384,0.09383668,0.07749521,0.09283863,0.87849647,2.6327982,0.5836792,0.4469407722086772,-0.2703922017980992
5025,3.1974406,0.41322756,2.3337688,0.81932807,0.043499593,3.615841,77.34518,5.8797007,35.26113,0.1171719,0.13903011,0.9236261,0.1381521,0.41708076,-0.71794283,0.99753046,0.1249655,0.15245362,0.043960977,1.0477389,2.3008006,0.5119421,0.3497314353999652,-0.23101715269173312
5026,3.741993,0.5974858,5.4237404,0.81426054,0.06001074,3.8594046,75.82212,4.959961,31.944073,0.27686998,0.18499537,0.9403446,0.028429631,0.08781111,-0.20738572,0.9681853,0.08973039,0.80204415,0.48444232,1.524713,6.422069,0.70109665,0.043387955032039814,-0.022011084783560248
5027,3.6510801,0.6339927,4.6074014,0.79138327,0.03572215,4.05295,90.66917,5.0378637,32.147934,0.2607353,0.18882912,0.12770186,0.042896412,-0.43013895,0.530514,0.85575384,0.46838036,0.27381957,0.04334713,1.0799358,4.690779,0.4630138,-0.18833941176836025,0.14996022915201102
5028,3.4674048,0.036712646,6.482215,0.8918363,0.03975292,2.9366732,94.30589,4.4889464,34.85521,0.628444,0.17613836,0.036314514,0.29139498,-0.457927,-0.10245407,0.7508619,0.020351483,0.19135922,0.34903207,1.2660711,5.6446133,0.9359028,-0.33502373245925166,-0.024625762634035663
5029,3.0150132,0.82930374,5.577569,0.88947856,0.033381302,2.869728,72.42515,3.9392939,33.641876,0.47792485,0.23021334,0.41403455,0.04701029,-0.19311297,0.27153742,0.57989764,0.3139451,0.9607294,0.023279004,0.95160985,1.83446,0.4043034,-0.12850471430603588,0.04066681735849289
