event,lnBayes
GW150914,0.0687743
GW150914,0.23250966
GW150914,0.3667364
GW150914,0.021163005
GW150914,0.023860456
GW150914,1.5353012
GW150914,0.016295452
GW150914,0.008530487
GW150914,0.03928555
GW150914,0.019923212
GW150914,0.021490099
GW150914,0.956513
GW150914,0.016812768
GW150914,0.01789379
GW150914,0.019956049
GW150914,0.043081325
GW150914,0.024111262
GW150914,0.05669923
GW150914,0.21460636
GW150914,0.040230695
GW150914,1.1890783
GW150914,0.10384418
GW150914,0.10063031
GW150914,0.015737971
GW150914,0.014236082
GW150914,0.034323297
GW150914,0.018165179
GW150914,0.067382805
GW150914,0.0970274
GW150914,0.022399401
GW150914,0.02115974
GW150914,0.65400934
GW150914,0.15473607
GW150914,0.3647212
GW150914,0.018040616
GW150914,0.018602315
GW150914,1.7234635
GW150914,0.02069955
GW150914,0.01548963
GW150914,0.015723186
GW150914,0.0155286
GW150914,0.014652148
GW150914,0.011220097
GW150914,1.8084768
GW150914,0.07486864
GW150914,0.08886092
GW150914,0.44732141
GW150914,0.05814548
GW150914,0.08184005
GW150914,0.31123495
GW150914,0.56674576
GW150914,0.0118919015
GW150914,0.089803755
GW150914,0.012845981
GW150914,0.46704102
GW150914,0.019288007
GW150914,0.017610615
GW150914,0.04427622
GW150914,0.059799634
GW150914,0.034075733
GW150914,0.075398
GW150914,0.15788507
GW150914,0.10817474
GW150914,0.05747321
GW150914,0.086327985
GW150914,0.06661178
GW150914,0.08505303
GW150914,0.04277139
GW150914,0.028552512
GW150914,0.022520974
GW150914,0.07870013
GW150914,0.15371853
GW150914,0.039997067
GW150914,0.07312302
GW150914,0.025009228
GW150914,0.16687539
GW150914,0.04916198
GW150914,0.44362736
GW150914,0.123700626
GW150914,0.34781352
GW150914,0.16526222
GW150914,0.16928339
GW150914,0.19512992
GW150914,0.065685794
GW150914,0.39826915
GW151012,-0.21674062
GW151012,-0.14481789
GW151012,-0.018353917
GW151012,-0.017456984
GW151012,-0.04618839
GW151012,-0.025934683
GW151012,-0.15421487
GW151012,-0.18372484
GW151012,-0.028307494
GW151012,-0.014956001
GW151012,-0.12649108
GW151012,-0.013956027
GW151012,-0.020238817
GW151012,-0.14279503
GW151012,-0.119374365
GW151012,-0.17159463
GW151012,-0.051853627
GW151012,-0.1076026
GW151012,-0.08114026
GW151012,-0.076653026
GW151012,-0.059886463
GW151012,-0.14889714
GW151012,-0.029739387
GW151012,-0.039142203
GW151012,-0.110940434
GW151012,-0.12117439
GW151012,-0.07392886
GW151012,-0.12099315
GW151012,-0.07056383
GW151012,-0.043969683
GW151012,-0.109939575
GW151012,-0.04634715
GW151012,-0.12691642
GW151012,-0.049902476
GW151012,-0.1388517
GW151012,-0.07708035
GW151012,-0.1276174
GW151012,-0.11257223
GW151012,-0.023193777
GW151012,-0.044349626
GW151012,-0.019820197
GW151012,-0.025480716
GW151012,-0.044364452
GW151012,-0.030414509
GW151012,-0.14131072
GW151012,-0.15519094
GW151012,-0.052595105
GW151012,-0.09472607
GW151012,-0.12729126
GW151012,-0.07306091
GW151012,-0.016743701
GW151012,-0.032980375
GW151012,-0.07711988
GW151012,-0.08318517
GW151012,-0.10728888
GW151012,-0.067633726
GW151012,-0.063928165
GW151012,-0.12916948
GW151012,-0.036737025
GW151012,-0.037534643
